name,link,profile_photo,department,descipline
Romain Montarnal,https://www.researchgate.netprofile/Romain-Montarnal,https://i1.rgstatic.net/ii/profile.image/293223898599426-1446921433814_Q64/Romain-Montarnal.jpg,14,"['Business', 'Marketing Management', 'Management']"
Amaury de Ferriere,https://www.researchgate.netprofile/Amaury-De-Ferriere,https://i1.rgstatic.net/ii/profile.image/556739956350976-1509748557225_Q64/Amaury-De-Ferriere.jpg,EM Normandie Business School,"['Law and Legal Studies', 'Legal Analysis', 'Arbitration']"
Xavier Philippe,https://www.researchgate.netprofile/Xavier-Philippe,https://i1.rgstatic.net/ii/profile.image/417074728980481-1476449772279_Q64/Xavier-Philippe.jpg,Management des Hommes et des Organisations,"['Organization', 'Management', 'Organizational Theory']"
Charlotte Durey,https://www.researchgate.netprofile/Charlotte-Durey,https://i1.rgstatic.net/ii/profile.image/441726776156162-1482327278459_Q64/Charlotte-Durey.jpg,14000,"['Management', 'Business Management', 'Marketing Management']"
Irina Cirovic,https://www.researchgate.netprofile/Irina-Cirovic-2,https://i1.rgstatic.net/ii/profile.image/678154175791106-1538695963680_Q64/Irina-Cirovic-2.jpg,Language Department,"['Language Acquisition', 'Applied Linguistics', 'Language Learning']"
Romain Lambert,https://www.researchgate.netprofile/Romain-Lambert-4,https://i1.rgstatic.net/ii/profile.image/817173324902401-1571840711561_Q64/Romain-Lambert-4.jpg,chaire MEA,"['SCM', 'Logistics']"
Maria Kakarika,https://www.researchgate.netprofile/Maria-Kakarika-3,https://i1.rgstatic.net/ii/profile.image/1137081027960832-1648112651947_Q64/Maria-Kakarika-3.jpg,EM Normandie Business School,[]
David Moroz,https://www.researchgate.netprofile/David-Moroz,https://i1.rgstatic.net/ii/profile.image/824687458258945-1573632220816_Q64/David-Moroz.jpg,"Economy, Territories and Sustainable Development","['Wine Investment', 'Industrial Economics', 'Cultural Economics']"
Lisa Fr,https://www.researchgate.netprofile/Lisa-Fr,https://i1.rgstatic.net/ii/profile.image/814210351124481-1571134283605_Q64/Lisa-Fr.jpg,EM Normandie Business School,"['Business', 'Management']"
Taïcyr Abbes,https://www.researchgate.netprofile/Taicyr-Abbes,https://i1.rgstatic.net/ii/profile.image/855617145163776-1581006432796_Q64/Taicyr-Abbes.jpg,EM Normandie Business School,"['Management', 'Strategic Management', 'Operations Management']"
Adel Aloui,https://www.researchgate.netprofile/Adel-Aloui-2,https://i1.rgstatic.net/ii/profile.image/978430082416643-1610287318925_Q64/Adel-Aloui-2.jpg,Supply Chain Management & Decision Sciences,"['Concept Design', 'Architecture', 'Creativity and Innovation']"
Nollan Benoist,https://www.researchgate.netprofile/Nollan-Benoist-2,https://i1.rgstatic.net/ii/profile.image/954447849078785-1604569508176_Q64/Nollan-Benoist-2.jpg,EM Normandie Business School,"['Ecological Economics', 'Climate Change Economics', 'Climate Change Mitigation']"
Elian Pilvin,https://www.researchgate.netprofile/Elian-Pilvin,https://i1.rgstatic.net/ii/profile.image/367799336751107-1464701603148_Q64/Elian-Pilvin.jpg,RECHERCHE,"['Teaching and Learning', 'E-Learning', 'Online Learning']"
Aneta Hamza-Orlinska,https://www.researchgate.netprofile/Aneta-Hamza-Orlinska,https://i1.rgstatic.net/ii/profile.image/1093432604921856-1637706056365_Q64/Aneta-Hamza-Orlinska.jpg,HR & Organisation,"['Diversity and Inclusion', 'Intercultural Transfer', 'Intercultural Management']"
Mary Vanselow,https://www.researchgate.netprofile/Mary-Vanselow,https://i1.rgstatic.net/ii/profile.image/421742217830404-1477562588843_Q64/Mary-Vanselow.jpg,International Logistics and Crisis Management,"['Environmental Sustainability', 'International Logistics', 'Waste Management']"
Youssef Tliche,https://www.researchgate.netprofile/Youssef-Tliche-2,https://i1.rgstatic.net/ii/profile.image/1068310250659842-1631716420250_Q64/Youssef-Tliche-2.jpg,Supply Chain Management & Decision Sciences,"['Mathematical Statistics', 'Probability', 'Data Science']"
Boubacar Traore,https://www.researchgate.netprofile/Boubacar-Traore-6,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,[]
Diana Santistevan,https://www.researchgate.netprofile/Diana-Santistevan,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Management of organizations and people,[]
Clément Vanthournout,https://www.researchgate.netprofile/Clement-Vanthournout,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
