title,link,authors,publication,article_year
CONSEQUENCES A COURT ET LONG TERMES DE L’ALCOOLISATION PENDANT L’ALLAITEMENT: MODELISATION DE «L’ALCOOLAITEMENT» CHEZ LA SOURIS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:aqlVkmm33-oC,"T LORIVEL¹, J BENHARI, P HILBER","Institut de Recherches Scientifiques sur les Boissons 21, 51, 2013",2013
Local delivery of PACAP promotes functional recovery after brain stroke by modulating the local inflammatory response,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:8k81kl-MbHgC,"C Brifault, M Gras, P Hilber, H Vaudry, D Vaudry, O Wurtz","JOURNAL OF MOLECULAR NEUROSCIENCE 48, S145-S146, 2012",2012
Measure of anxiety and exploration behaviours in cerebellar mice using a simple and unique apparatus: influence of habituation on behavioural disinhibition.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:hqOjcs7Dif8C,"P Hilber, T Lorivel","Measuring Behavior 2012, 504, 2012",2012
Physiologie animale: notions essentielles et modélisation du vivant,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:u5HHmVD_uO8C,P Hilber,"Éd. De Boeck université, 2012",2012
Complementary cell imaging technologies for biotherapy strategies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:L8Ckcad2t8MC,"L Galas, M Benard, D Schapman, S Bernard, A Lebon, S Banquet, ...","5ème édition des Rencontres Normandes en Chimie-Biologie-Santé, 2011",2011
Evaluation of the targeted therapy everolimus on cognitive functions and cerebral plasticity in an animal model.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:UebtZRa9Y70C,"M Dubois, N Lapinte, V Le Joncour, V Roy, M Tonon, P Gandolfo, F Joly, ...","Journal of Clinical Oncology 29 (15_suppl), e13589-e13589, 2011",2011
Dispositif modulable de mesure des émotions chez le rongeur,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:9ZlFYXVOiuMC,P Hilber,,2011
1167 POSTER Comparison of the Impact of the Targeted Therapy Everolimus (Afinitor®) and the Chemotherapy 5-FU on Cognitive Functions and Cerebral Plasticity in an Animal Model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:WF5omc3nYNoC,"M Dubois, V Lejoncour, N Lapinte, V Roy, MC Tonon, P Gandolfo, F Joly, ...","European Journal of Cancer, S143, 2011",2011
Abstract# 5089: Age-related cognitive function and hippocampus plasticity in mice after breast or colon cancer chemotherapy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:KlAtU1dfN6UC,"M Dubois, V Roy, P Gandolfo, F Joly, P Hilber, H Castel","Cancer Research 69 (9 Supplement), 5089-5089, 2009",2009
Brain Research Young Investigator Awards–December 2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:u-x6o8ySG0sC,"CMM Matias, J Reynolds, R Suzuki, P Hilber","Brain Research 1026, 1-10, 2004",2004
Progress in Neuropsychopharmacology & Biological Psychiatry,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rN_7AkoAAAAJ&pagesize=100&citation_for_view=rN_7AkoAAAAJ:ZeXyd9-uunAC,"P Hilber, J Cendelin, A Le Gall, ML Machado, J Tuma, S Besnard",,
,,,,
