title,link,authors,publication,article_year
Dynamic sediment profile imaging (DySPI): a new field method for the study of dynamic processes at the sediment‐water interface,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:YFjsv_pBGBYC,"O Blanpain, PB Du Bois, P Cugier, R Lafite, M Lunven, J Dupont, ...","Limnology and oceanography: Methods 7 (1), 8-20, 2009",2009
"A cross-section analysis of sedimentary organic matter in a mangrove ecosystem under dry climate conditions: The Somone estuary, Senegal",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:4DMP91E08xMC,"I Sakho, V Mesnage, Y Copard, J Deloffre, G Faye, R Lafite, I Niang","Journal of African Earth Sciences 101, 220-231, 2015",2015
River flow control on intertidal mudflat sedimentation in the mouth of a macrotidal estuary,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:L8Ckcad2t8MC,"A Cuvilliez, R Lafite, J Deloffre, M Lemoine, E Langlois, I Sakho","Geomorphology 239, 174-181, 2015",2015
"Organic matter transport across a macrotidal estuary grandient: the Seine estuary, Fance",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:Zph67rFs4hoC,"H Texier, R Lafite, JP Dupont, V Firmin, F Gadel, L Serve, B Charriere","Netherland Journal of Aquatic Ecology 27 (2), 405-413, 1993",1993
Sedimentary processes on a fluvial estuarine mudflat. The macrotidal Seine example (France).,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:Wp0gIr-vW9MC,"J Deloffre, R Lafite, P Lesueur, S Lesourd, R Verney, L Guezennec","Estuarine, Coastal and Shelf Science 64, 710-720, 2005",2005
Diatoms as particulate tracers in the water column in the Eastern English Channel,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:GnPB-g6toBAC,"MF Huault, R Lafite, JP Dupont","Netherlands journal of sea research 33 (1), 47-56, 1994",1994
Granulométrie et vitesse de chute des matières en suspension en estuaire de Seine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:CHSYGLWDkRkC,"JP DUPONT, HUAQ WANG, R Lafite, R Meyer, H Texier","Comptes rendus de l'Académie des sciences. Série 2. Sciences de la terre et …, 1995",1995
Caractérisation et dynamique des particules en suspension dans un domaine marin macrotidal influencé par un estuaire: l'exemple de la Baie de Seine orientale (France),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:5nxA0vEk-isC,R Lafite,"Rouen, 1990",1990
Biogeochemical markers of organic matter along the Wight-Cherbourg transect (central English Channel),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:dfsIfKJdRG4C,"MM Ismaïli, L Serve, F Gadel, R Lafite, H Texier","Oceanologica acta 22 (4), 397-412, 1999",1999
Importance et rôle du matériel organique vivant et inerte dans les suspensions de la Baie de Seine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:cFHS6HbyZ2cC,"J Dupont, R Lafite","La Baie de Seine. Colloque National du CNRS, 24-26 avril 1985, 1985",1985
Contribution de l''etude des suspensions a la comprehension des mecanismes hydrosedimentaires estuariens et littoraux en Manche centrale et orientale,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:iH-uZ7U-co4C,"J Dupont, R Lafite, M Lamboy","La Baie de Seine. Colloque National du CNRS, 24-26 avril 1985, 1985",1985
"Stages of sedimentary infilling in a hypertidal bay using a combination of sedimentological, morphological and dynamic criteria (Bay of Somme, France)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:7PzlFSSx8tAC,"C Michel, S Le Bot, F Druine, S Costa, F Levoy, C Dubrulle-Brunaud, ...","Journal of Maps 13 (2), 858-865, 2017",2017
Dialysis porewater sampler: A strategy for time equilibration optimisation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:j3f4tGmQtD8C,"G Bally, V Mesnage, R Verney, O Clarisse, JP Dupont, B Ouddanne, ...","Phosphates in sediments: proceedings of the 4th international symposium …, 2005",2005
In-situ study of the influence of size and shape of sediments on bedload transport,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=TqBwgC4AAAAJ&pagesize=100&citation_for_view=TqBwgC4AAAAJ:qxL8FJ1GzNcC,"M Durafour, A Jarno, S Le Bot, O Blanpain, R Lafite, F Marin","Seventh conference on coastal dynamics. Arcachon, 541-552, 2013",2013
